seq,time,place,sevice,food,staff,review,liked
101,0,0,0,0,0,"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1
102,0,0,0,0,0,"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1
103,0,0,0,0,0,"Best Buffet in town, for the price you cannot beat it.",1
104,0,0,0,0,0,"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1
105,0,0,0,0,0,This is one of the better buffets that I have been to.,1
106,0,0,0,0,0,So we went to Tigerlilly and had a fantastic afternoon!,1
107,0,0,0,1,0,"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1
108,0,0,0,0,0,The ambience is wonderful and there is music playing.,1
109,0,0,0,0,0,Will go back next trip out.,1
110,0,0,0,0,0,Sooooo good!!,1
111,0,0,0,0,0,"REAL sushi lovers, let's be honest - Yama is not that good.",0
112,0,0,0,1,0,"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0
113,0,0,0,0,0,This is a really fantastic Thai restaurant which is definite,1
114,0,0,0,0,0,"Nice, spicy and tender.",1
115,0,0,0,0,0,Good prices.,1
116,0,0,0,0,0,Check it out.,1
117,0,0,0,0,0,It was pretty gross!,0
118,0,0,0,0,0,I've had better atmosphere.,0
119,0,0,0,0,0,Kind of hard to mess up a steak but they did.,0
120,0,1,0,0,0,"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0
121,0,1,0,1,0,I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0
122,0,0,1,0,0,"Worst service to boot, but that is the least of their worries.",0
123,0,0,1,0,0,Service was fine and the waitress was friendly.,1
124,0,1,0,0,0,"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1
125,0,1,0,0,0,"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1
126,0,0,0,0,1,"Host staff were, for lack of a better word, BITCHES!",0
127,1,1,0,0,0,Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0
128,0,0,1,1,0,"Phenomenal food, service and ambiance.",1
129,0,0,0,0,0,I wouldn't return.,0
130,1,0,0,0,0,"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1
131,0,1,0,1,0,This place is way too overpriced for mediocre food.,0
132,0,0,0,0,0,Penne vodka excellent!,1
133,0,0,0,1,0,"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1
134,0,0,0,0,0,The management is rude.,0
135,0,0,0,0,0,"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1
136,0,0,0,0,0,"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1
137,0,0,0,0,0,I had a seriously solid breakfast here.,1
138,0,0,0,1,0,This is one of the best bars with food in Vegas.,1
139,0,0,0,0,0,"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0
140,0,0,0,0,0,My drink was never empty and he made some really great menu suggestions.,1
141,0,0,0,0,0,Don't do it!!!!,0
142,0,0,0,0,0,The waiter wasn't helpful or friendly and rarely checked on us.,0
143,0,0,1,1,0,My husband and I ate lunch here and were very disappointed with the food and service.,0
144,0,0,0,0,0,And the red curry had so much bamboo shoots and wasn't very tasty to me.,0
145,0,0,0,1,0,Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1
146,0,1,0,0,0,The bathrooms are clean and the place itself is well decorated.,1
147,0,0,1,1,0,"The menu is always changing, food quality is going down & service is extremely slow.",0
148,0,0,1,1,0,"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0
149,0,0,0,0,0,I give it 2 thumbs down,0
150,0,0,0,0,0,We watched our waiter pay a lot more attention to other tables and ignore us.,0
151,0,0,0,0,0,My fiancé and I came in the middle of the day and we were greeted and seated right away.,1
152,0,0,0,0,0,This is a great restaurant at the Mandalay Bay.,1
153,0,0,0,0,0,We waited for forty five minutes in vain.,0
154,0,0,0,0,0,Crostini that came with the salad was stale.,0
155,0,0,0,0,0,Some highlights : Great quality nigiri here!,1
156,0,0,0,0,1,the staff is friendly and the joint is always clean.,1
157,0,0,0,0,0,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1
158,1,0,0,0,0,I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,1
159,0,1,0,0,0,this place is good.,1
160,0,0,0,0,0,"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0
161,0,0,0,0,0,I came back today since they relocated and still not impressed.,0
162,0,0,0,0,0,I was seated immediately.,1
163,0,0,0,0,0,"Their menu is diverse, and reasonably priced.",1
164,0,0,0,0,0,Avoid at all cost!,0
165,0,0,0,0,0,Restaurant is always full but never a wait.,1
166,0,0,0,0,0,DELICIOUS!!,1
167,0,1,0,0,0,This place is hands-down one of the best places to eat in the Phoenix metro area.,1
168,0,0,0,1,0,So don't go there if you are looking for good food...,0
169,0,0,0,0,0,I've never been treated so bad.,0
170,0,0,0,0,0,Bacon is hella salty.,1
171,0,0,0,0,0,"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",0
172,0,0,0,0,0,"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1
173,0,0,0,0,0,The waitresses are very friendly.,1
174,0,0,0,0,0,"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1
175,0,0,0,0,0,Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,1
176,0,0,0,0,0,"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0
177,0,0,1,0,0,The service here leaves a lot to be desired.,0
178,0,0,0,0,0,"The atmosphere is modern and hip, while maintaining a touch of coziness.",1
179,0,1,0,0,0,"Not a weekly haunt, but definitely a place to come back to every once in a while.",1
180,0,0,0,0,0,We literally sat there for 20 minutes with no one asking to take our order.,0
181,0,0,0,0,0,"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0
182,0,0,0,0,0,I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0
183,0,0,0,0,0,I dressed up to be treated so rudely!,0
184,0,0,0,0,0,It was probably dirt.,0
185,0,1,0,0,0,"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1
186,0,0,0,0,0,I ordered the Lemon raspberry ice cocktail which was also incredible.,1
187,0,0,0,1,0,"The food sucked, which we expected but it sucked more than we could have imagined.",0
188,0,0,0,0,0,Interesting decor.,1
189,0,0,0,0,0,What I really like there is the crepe station.,1
190,0,0,0,0,0,"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1
191,0,0,0,1,0,you can watch them preparing the delicious food!),1
192,0,0,0,0,0,Both of the egg rolls were fantastic.,1
193,0,0,0,0,0,"When my order arrived, one of the gyros was missing.",0
194,0,0,0,0,0,"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1
195,0,0,0,0,0,I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0
196,0,1,0,0,0,The best place to go for a tasty bowl of Pho!,1
197,0,0,0,0,0,The live music on Fridays totally blows.,0
198,0,0,0,0,0,I've never been more insulted or felt disrespected.,0
199,0,0,0,0,1,Very friendly staff.,1
200,0,0,0,0,0,It is worth the drive.,1
201,0,1,0,0,0,"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",1
202,0,0,0,1,0,Food was great and so was the serivce!,1
203,0,0,0,0,0,The warm beer didn't help.,0
204,0,0,0,0,0,Great brunch spot.,1
205,0,0,1,0,0,Service is friendly and inviting.,1
206,0,0,0,0,0,Very good lunch spot.,1
207,1,1,0,0,0,I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0
208,0,0,0,0,0,The WORST EXPERIENCE EVER.,0
209,0,1,0,0,0,Must have been an off night at this place.,0
210,0,0,0,0,0,"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",1
211,0,0,0,0,0,"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0
212,1,0,0,0,0,"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0
213,0,0,0,0,0,My friend loved the salmon tartar.,1
214,0,0,0,0,0,Won't go back.,0
215,0,0,0,0,0,Extremely Tasty!,1
216,0,0,0,0,0,Waitress was good though!,1
217,0,0,0,0,0,Soggy and not good.,0
218,0,0,0,0,0,The Jamaican mojitos are delicious.,1
219,0,0,0,0,0,Which are small and not worth the price.,0
220,0,0,0,1,0,- the food is rich so order accordingly.,1
221,0,0,0,0,0,"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0
222,0,0,1,0,0,The service was a bit lacking.,0
223,0,0,0,0,0,"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0
224,0,0,0,0,0,Hopefully this bodes for them going out of business and someone who can cook can come in.,0
225,0,0,0,0,0,"It was either too cold, not enough flavor or just bad.",0
226,0,0,0,0,0,I loved the bacon wrapped dates.,1
227,0,0,0,0,0,This is an unbelievable BARGAIN!,1
228,0,0,0,0,0,The folks at Otto always make us feel so welcome and special.,1
229,0,0,0,0,0,"As for the ""mains,"" also uninspired.",0
230,0,1,0,0,0,This is the place where I first had pho and it was amazing!!,1
231,0,1,0,0,0,This wonderful experience made this place a must-stop whenever we are in town again.,1
232,0,0,0,1,0,"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0
233,0,0,0,0,0,Very very fun chef.,1
234,0,0,0,0,0,"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0
235,0,1,0,0,0,Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1
236,0,0,0,0,0,"If it were possible to give them zero stars, they'd have it.",0
237,0,0,0,0,0,"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0
238,0,0,0,0,0,"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1
239,0,0,0,0,0,If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0
240,0,0,1,0,0,"Everyone is very attentive, providing excellent customer service.",1
241,1,0,0,0,0,Horrible - don't waste your time and money.,0
242,0,0,0,0,0,Now this dish was quite flavourful.,1
243,1,0,0,0,0,By this time our side of the restaurant was almost empty so there was no excuse.,0
244,0,0,0,0,0,"(It wasn't busy either) Also, the building was FREEZING cold.",0
245,0,1,0,0,0,"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0
246,0,0,0,0,0,-Drinks took close to 30 minutes to come out at one point.,0
247,0,0,0,0,0,"Seriously flavorful delights, folks.",1
248,0,1,0,0,0,Much better than the other AYCE sushi place I went to in Vegas.,1
249,0,0,0,0,0,The lighting is just dark enough to set the mood.,1
250,0,0,1,0,0,Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0
251,0,0,0,0,0,Owner's are really great people.!,1
252,0,0,0,0,0,There is nothing privileged about working/eating there.,0
253,0,0,0,0,0,The Greek dressing was very creamy and flavorful.,1
254,0,1,0,0,0,"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0
255,0,0,0,0,0,Now the pizza itself was good the peanut sauce was very tasty.,1
256,0,0,1,0,0,We had 7 at our table and the service was pretty fast.,1
257,0,0,1,0,0,Fantastic service here.,1
258,0,0,0,0,0,I as well would've given godfathers zero stars if possible.,0
259,0,0,0,0,0,They know how to make them here.,1
260,0,0,0,0,0,very tough and very short on flavor!,0
261,0,1,0,0,0,I hope this place sticks around.,1
262,0,0,0,0,0,"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0
263,0,0,0,0,0,The restaurant atmosphere was exquisite.,1
264,0,0,1,0,0,"Good service, very clean, and inexpensive, to boot!",1
265,0,0,0,1,0,The seafood was fresh and generous in portion.,1
266,0,0,0,0,0,"Plus, it's only 8 bucks.",1
267,0,0,1,0,0,"The service was not up to par, either.",0
268,1,0,0,1,0,"Thus far, have only visited twice and the food was absolutely delicious each time.",1
269,0,0,0,0,0,Just as good as when I had it more than a year ago!,1
270,0,0,0,0,0,"For a self proclaimed coffee cafe, I was wildly disappointed.",0
271,0,0,0,0,0,The Veggitarian platter is out of this world!,1
272,0,0,0,1,0,You cant go wrong with any of the food here.,1
273,0,0,0,0,0,You can't beat that.,1
274,0,1,0,0,1,"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1
275,0,0,0,0,0,The chefs were friendly and did a good job.,1
276,0,0,0,0,0,"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",0
277,0,0,1,0,0,I liked the patio and the service was outstanding.,1
278,0,0,0,0,0,The goat taco didn't skimp on the meat and wow what FLAVOR!,1
279,0,0,0,0,0,I think not again,0
280,0,0,0,0,0,I had the mac salad and it was pretty bland so I will not be getting that again.,0
281,0,0,0,0,0,I went to Bachi Burger on a friend's recommendation and was not disappointed.,1
282,0,0,1,0,0,Service stinks here!,0
283,0,0,0,0,0,I waited and waited.,0
284,0,1,0,0,0,"This place is not quality sushi, it is not a quality restaurant.",0
285,0,0,0,0,0,I would definitely recommend the wings as well as the pizza.,1
286,0,0,0,0,0,Great Pizza and Salads!,1
287,0,0,0,0,0,Things that went wrong: - They burned the saganaki.,0
288,1,0,0,0,0,We waited an hour for what was a breakfast I could have done 100 times better at home.,0
289,0,1,0,0,0,This place is amazing!,1
290,0,1,0,0,0,"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",0
291,0,0,0,0,0,Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,0
292,0,0,0,0,0,Just don't know why they were so slow.,0
293,0,0,0,1,1,"The staff is great, the food is delish, and they have an incredible beer selection.",1
294,0,0,0,0,0,"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",0
295,0,0,0,0,0,I didn't know pulled pork could be soooo delicious.,1
296,0,0,0,0,0,"You get incredibly fresh fish, prepared with care.",1
297,1,0,0,0,0,Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0
298,0,0,0,0,0,I love the fact that everything on their menu is worth it.,1
299,0,1,0,0,0,Never again will I be dining at this place!,0
300,0,0,1,1,0,The food was excellent and service was very good.,1
301,0,0,0,1,0,Good beer & drink selection and good food selection.,1
302,0,0,0,0,0,Please stay away from the shrimp stir fried noodles.,0
303,0,0,0,0,0,The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,0
304,0,0,0,1,0,Food was really boring.,0
305,0,0,1,0,0,Good Service-check!,1
306,0,0,0,0,0,This greedy corporation will NEVER see another dime from me!,0
307,0,0,0,0,0,"Will never, ever go back.",0
308,0,0,1,0,0,"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",0
309,0,0,0,0,0,"In the summer, you can dine in a charming outdoor patio - so very delightful.",1
310,0,0,0,0,0,I did not expect this to be so good!,1
311,0,0,0,1,0,Fantastic food!,1
312,0,0,0,0,0,She ordered a toasted English muffin that came out untoasted.,0
313,0,0,0,1,0,The food was very good.,1
314,0,0,0,0,0,Never going back.,0
315,0,0,0,1,0,"Great food for the price, which is very high quality and house made.",1
316,0,0,0,0,0,The bus boy on the other hand was so rude.,0
317,0,1,0,0,0,"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",0
318,0,0,0,0,0,"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1
319,0,0,0,0,0,"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1
320,0,0,0,0,0,All the bread is made in-house!,1
321,0,0,1,0,0,The only downside is the service.,0
322,0,0,0,0,0,"Also, the fries are without a doubt the worst fries I've ever had.",0
323,0,0,1,1,0,Service was exceptional and food was a good as all the reviews.,1
324,0,0,0,0,0,"A couple of months later, I returned and had an amazing meal.",1
325,0,1,0,0,0,Favorite place in town for shawarrrrrrma!!!!!!,1
326,0,0,0,0,0,The black eyed peas and sweet potatoes... UNREAL!,1
327,0,0,0,0,0,You won't be disappointed.,1
328,0,0,0,0,0,"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",1
329,0,1,0,0,0,"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0
330,0,0,0,0,0,When my mom and I got home she immediately got sick and she only had a few bites of salad.,0
331,0,0,0,0,0,The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,0
332,0,0,0,0,0,"Both of them were truly unbelievably good, and I am so glad we went back.",1
333,0,0,1,0,0,"We had fantastic service, and were pleased by the atmosphere.",1
334,0,0,0,0,0,Everything was gross.,0
335,0,1,0,0,0,I love this place.,1
336,0,0,1,1,0,Great service and food.,1
337,0,0,0,0,0,First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,0
338,0,0,0,0,0,"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",0
339,0,0,0,1,0,"OMG, the food was delicioso!",1
340,0,1,0,0,0,There is nothing authentic about this place.,0
341,0,0,0,0,0,the spaghetti is nothing special whatsoever.,0
342,0,0,0,0,0,"Of all the dishes, the salmon was the best, but all were great.",1
343,0,0,0,0,0,The vegetables are so fresh and the sauce feels like authentic Thai.,1
344,0,0,0,0,0,It's worth driving up from Tucson!,1
345,0,0,0,0,0,The selection was probably the worst I've seen in Vegas.....there was none.,0
346,0,0,0,0,0,Pretty good beer selection too.,1
347,0,1,0,0,0,"This place is like Chipotle, but BETTER.",1
348,0,0,0,0,0,"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!",1
349,0,0,0,0,0,5 stars for the brick oven bread app!,1
350,1,0,0,1,0,"I have eaten here multiple times, and each time the food was delicious.",1
351,0,0,0,0,0,We sat another ten minutes and finally gave up and left.,0
352,0,0,0,0,0,He was terrible!,0
353,0,0,0,0,0,Everyone is treated equally special.,1
354,0,0,0,0,0,It shouldn't take 30 min for pancakes and eggs.,0
355,0,0,0,0,0,It was delicious!!!,1
356,0,0,0,0,1,"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.",1
357,0,1,0,0,0,"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.",0
358,0,0,0,1,0,As always the evening was wonderful and the food delicious!,1
359,0,0,0,0,0,Best fish I've ever had in my life!,1
360,0,0,0,0,0,(The bathroom is just next door and very nice.),1
361,0,0,0,1,0,The buffet is small and all the food they offered was BLAND.,0
362,0,0,0,1,0,This is an Outstanding little restaurant with some of the Best Food I have ever tasted.,1
363,0,0,0,0,0,Pretty cool I would say.,1
364,0,0,0,0,0,Definitely a turn off for me & i doubt I'll be back unless someone else is buying.,0
365,0,0,0,0,0,Server did a great job handling our large rowdy table.,1
366,0,0,0,1,0,"I find wasting food to be despicable, but this just wasn't food.",0
367,0,0,0,0,0,My wife had the Lobster Bisque soup which was lukewarm.,0
368,0,0,0,0,0,Would come back again if I had a sushi craving while in Vegas.,1
369,0,0,0,0,1,"The staff are great, the ambiance is great.",1
370,0,0,0,0,0,He deserves 5 stars.,1
371,0,0,0,0,0,I left with a stomach ache and felt sick the rest of the day.,0
372,0,0,0,0,0,They dropped more than the ball.,0
373,0,0,0,0,0,"The dining space is tiny, but elegantly decorated and comfortable.",1
374,0,0,0,0,0,"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!",1
375,0,0,0,0,0,And the beans and rice were mediocre at best.,0
376,0,0,0,0,0,Best tacos in town by far!!,1
377,0,0,0,0,0,I took back my money and got outta there.,0
378,0,1,0,0,0,"In an interesting part of town, this place is amazing.",1
379,0,0,0,0,0,RUDE & INCONSIDERATE MANAGEMENT.,0
380,1,0,0,0,1,"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.",0
381,0,0,0,0,0,I won't be back.,0
382,0,0,0,0,0,They have great dinners.,1
383,0,0,1,0,0,The service was outshining & I definitely recommend the Halibut.,1
384,0,0,0,1,0,The food was terrible.,0
385,0,0,0,0,0,WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.,0
386,0,0,0,0,0,I don't recommend unless your car breaks down in front of it and you are starving.,0
387,1,0,0,0,0,I will come back here every time I'm in Vegas.,1
388,0,1,0,1,0,This place deserves one star and 90% has to do with the food.,0
389,0,0,0,0,0,This is a disgrace.,0
390,1,0,0,0,0,Def coming back to bowl next time,1
391,0,1,0,1,0,"If you want healthy authentic or ethic food, try this place.",1
392,0,1,0,0,0,I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.,1
393,1,0,0,0,0,"I have been here several times in the past, and the experience has always been great.",1
394,0,0,0,0,0,We walked away stuffed and happy about our first Vegas buffet experience.,1
395,0,0,1,0,0,Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.,1
